video_id,user_unique_id,video_create_time,video_digg_count,video_share_count,video_comment_count,video_play_count,hashtags,used_proper_hastags,data_date,influencer,day_over_day_change
7197520031855496490,figapp,1675803231,28,0,0,384,dietaryrestrictions;foodallergies,True,2023-02-07,False,
7197518628407840043,figapp,1675802903,29,0,1,296,,True,2023-02-07,False,-88.0
7197516969770487086,figapp,1675802521,41,0,2,357,,True,2023-02-07,False,61.0
7195653323482058026,figapp,1675368605,141,0,2,1442,figapp;nyu,True,2023-02-07,False,1085.0
7194948095640227114,figapp,1675204406,38,0,1,593,,True,2023-02-07,False,-849.0
7194622986505325870,figapp,1675128709,29,0,6,587,,True,2023-02-07,False,-6.0
7193464911857585450,figapp,1674859081,57,0,3,1034,,True,2023-02-07,False,447.0
7193106753893092654,figapp,1674775687,98,0,1,1261,,True,2023-02-07,False,227.0
7192669238551678250,figapp,1674673828,51,0,0,828,,True,2023-02-07,False,-433.0
7192317938211310890,figapp,1674592035,57,0,2,965,foodallergies;dietaryrestrictions;lowfodmap;glutenfree;dairyfree;vegan,True,2023-02-07,False,137.0
7192312238693240107,figapp,1674590705,193,0,4,1946,nyu;foodallergies,True,2023-02-07,False,981.0
7191887958151089450,figapp,1674491931,149,1,4,2022,,True,2023-02-07,False,76.0
7190912724715719982,figapp,1674264849,292,1,6,4676,,True,2023-02-07,False,2654.0
7190542618164563242,figapp,1674178675,285,0,1,4031,,True,2023-02-07,False,-645.0
7189665654826388779,figapp,1673974508,154,0,6,2058,capcut,True,2023-02-07,False,-1973.0
7189661151314054443,figapp,1673973464,567,0,9,8267,,True,2023-02-07,False,6209.0
7188166594328104238,figapp,1673625465,107,0,4,1955,,True,2023-02-07,False,-6312.0
7187859223403875626,figapp,1673553899,119,0,5,2247,,True,2023-02-07,False,292.0
7187120203107601710,figapp,1673381842,878,1,6,9594,,True,2023-02-07,False,7347.0
7186694140493597998,figapp,1673282655,36,1,2,916,stitch,True,2023-02-07,False,-8678.0
7183458430386982186,figapp,1672529262,24,0,2,1153,,True,2023-02-07,False,237.0
7182989871311686958,figapp,1672420171,613,1,7,7329,,True,2023-02-07,False,6176.0
7181844485263936810,figapp,1672153505,334,0,3,4185,,True,2023-02-07,False,-3144.0
7180035253866663211,figapp,1671732243,101,0,3,2637,dietaryrestrictions;foodallergies;figapp,True,2023-02-07,False,-1548.0
7179724450877934894,figapp,1671659876,428,1,3,5632,,True,2023-02-07,False,2995.0
7178925436951334186,figapp,1671473845,111,1,14,2946,,True,2023-02-07,False,-2686.0
7177797539457010986,figapp,1671211236,179,4,5,4492,,True,2023-02-07,False,1546.0
