video_id,user_unique_id,video_create_time,video_digg_count,video_share_count,video_comment_count,video_play_count,hashtags,used_proper_hastags,data_date
7209149696072289579,tytheproductguy,2023-03-11 05:02:58,313,62,9,6423,ai;aitools;artificialintelligence;sidehustleideas;durablepartner,False,2023-03-18
7207465158858313003,tytheproductguy,2023-03-06 16:06:18,802,151,1,12200,ai;aitools;artificialintelligence;TechTokTips,False,2023-03-18
7205983976115146027,tytheproductguy,2023-03-02 16:18:19,66,15,0,1994,ai;aitools;artificialintelligence;TechTokTips,False,2023-03-18
7205617637227842858,tytheproductguy,2023-03-01 16:36:44,1888,367,8,46700,ai;aitools;artificialintelligence;TechTokTips,False,2023-03-18
7205264361785707822,tytheproductguy,2023-02-28 17:45:50,126,11,1,2633,ai;artificialintelligence;techtok;aitools,False,2023-03-18
7203828682908011822,tytheproductguy,2023-02-24 20:54:38,1392,140,4,19000,ai;artificialintelligence;techtok;aitools,False,2023-03-18
7203370595675835694,tytheproductguy,2023-02-23 15:17:02,53,3,1,1888,ai;artificialintelligence;techtok;aitools,False,2023-03-18
7203010610580229419,tytheproductguy,2023-02-22 16:00:07,38000,6122,155,704900,aitools;ai;artificialintelligence;techtok,False,2023-03-18
7202819217794534699,tytheproductguy,2023-02-22 03:37:23,44,2,0,1951,aitools;ai;artificialintelligence;techtok,False,2023-03-18
7201158427794541867,tytheproductguy,2023-02-17 16:12:40,6925,1989,32,214200,artificialintelligence;aitools;ai;techtok,False,2023-03-18
7200831863479536942,tytheproductguy,2023-02-16 19:05:29,468,116,6,10100,artificialintelligence;aitools;ai;techtok,False,2023-03-18
7200654261166918958,tytheproductguy,2023-02-16 07:36:18,168,17,1,3755,aitools;artificialintelligence;ai;logodesign,False,2023-03-18
7199819871453056299,tytheproductguy,2023-02-14 01:38:25,32,1,0,1522,aitools;artificialintelligence;valentines,False,2023-03-18
7199801547889560878,tytheproductguy,2023-02-14 00:27:24,5662,1707,48,139300,aitools;artificialintelligence;smallbiz;durablepartner;durableai,False,2023-03-18
7198575604206193963,tytheproductguy,2023-02-10 17:10:21,282,65,7,7192,aitools;ai;artificialintelligence;chatgpt;openai;producthunt,False,2023-03-18
7198202542247939374,tytheproductguy,2023-02-09 17:02:35,223,22,5,3622,growthmentor;growthmentorpartner;marketingtips;growthmarketing;marketingadvice,False,2023-03-18
7197813612423957803,tytheproductguy,2023-02-08 15:53:09,194,40,1,5040,aitools;wallartdecor;artificialintelligence;chatgpt;tytheproductguy,False,2023-03-18
7197442049334103342,tytheproductguy,2023-02-07 15:51:15,726,186,20,11400,aitools;atomichabits;navalravikant;konjerxyz;marketingtools,False,2023-03-18
7195956804201794862,tytheproductguy,2023-02-03 15:47:45,4141,501,62,62400,aitools;brancherai;gpt3;marketingtools;sidehustles,False,2023-03-18
7195587217463528747,tytheproductguy,2023-02-02 15:53:36,13000,2069,61,181600,aitools;brancherai;gpt3;marketingtools,False,2023-03-18
7195213366439251243,tytheproductguy,2023-02-01 15:42:49,121,27,3,2812,marketingtips;businessideas;aitools;validatorai,False,2023-03-18
7105056783282048302,tytheproductguy,2022-06-03 16:49:05,47,2,3,1606,startups;growthmarketing;newproductalert;producthunt,False,2023-03-18
