video_id,user_unique_id,video_create_time,video_digg_count,video_share_count,video_comment_count,video_play_count,hashtags,used_proper_hastags,data_date,influencer,day_over_day_change
7206409728879119658,figapp,1677873027,211,0,1,2730,,True,2023-03-05,,
7205645890764246314,figapp,1677695185,91,0,0,752,,True,2023-03-05,,-1978.0
7204931305002306862,figapp,1677528803,137,0,4,1179,figapp;cornallergy,True,2023-03-05,,427.0
7203739636470992171,figapp,1677251349,585,1,7,6062,foodallergies;figapp,True,2023-03-05,,4883.0
7203485572415933739,figapp,1677192190,24,2,3,501,glutenfree,True,2023-03-05,,-5561.0
7202708096093916458,figapp,1677011172,398,0,2,4576,foodallergies,True,2023-03-05,,4075.0
7202327518089612590,figapp,1676922566,74,1,4,1427,,True,2023-03-05,,-3149.0
7200837947170622763,figapp,1676575746,62,0,0,1388,,True,2023-03-05,,-39.0
7200442519761505582,figapp,1676483680,160,1,1,2208,,True,2023-03-05,,820.0
7200103443355241770,figapp,1676404739,228,0,2,3540,,True,2023-03-05,,1332.0
7199717473611091246,figapp,1676314885,45,0,2,871,stitch;everyingredient,True,2023-03-05,,-2669.0
7199714505797143854,figapp,1676314195,133,0,5,1790,,True,2023-03-05,,919.0
7198666343514639659,figapp,1676070130,134,0,1,2021,,True,2023-03-05,,231.0
7197520031855496490,figapp,1675803231,80,0,4,2068,dietaryrestrictions;foodallergies,True,2023-03-05,,47.0
7197518628407840043,figapp,1675802903,82,1,2,1675,,True,2023-03-05,,-393.0
7197516969770487086,figapp,1675802521,80,0,2,1158,,True,2023-03-05,,-517.0
7195653323482058026,figapp,1675368605,152,0,2,1841,figapp;nyu,True,2023-03-05,,683.0
7194948095640227114,figapp,1675204406,49,0,1,912,,True,2023-03-05,,-929.0
7194622986505325870,figapp,1675128709,33,0,6,847,,True,2023-03-05,,-65.0
7193464911857585450,figapp,1674859081,61,0,3,1220,,True,2023-03-05,,373.0
7193106753893092654,figapp,1674775687,106,0,2,1458,,True,2023-03-05,,238.0
7192669238551678250,figapp,1674673828,59,0,0,1021,,True,2023-03-05,,-437.0
7192317938211310890,figapp,1674592035,60,0,2,1135,foodallergies;dietaryrestrictions;lowfodmap;glutenfree;dairyfree;vegan,True,2023-03-05,,114.0
7192312238693240107,figapp,1674590705,200,0,4,2201,nyu;foodallergies,True,2023-03-05,,1066.0
7191887958151089450,figapp,1674491931,152,1,4,2162,,True,2023-03-05,,-39.0
7190912724715719982,figapp,1674264849,296,1,6,4842,,True,2023-03-05,,2680.0
7190542618164563242,figapp,1674178675,289,0,1,4195,,True,2023-03-05,,-647.0
7189665654826388779,figapp,1673974508,159,0,6,2177,capcut,True,2023-03-05,,-2018.0
7189661151314054443,figapp,1673973464,573,0,9,8509,,True,2023-03-05,,6332.0
7188166594328104238,figapp,1673625465,109,0,4,2065,,True,2023-03-05,,-6444.0
7204937903699512618,theallergicgirl,1677530339,672,0,6,5395,,False,2023-03-05,,3330.0
7204937793561169194,theallergicgirl,1677530313,4209,2,13,39900,figpartner,True,2023-03-05,,34505.0
7203491465828371755,theallergicgirl,1677193565,1578,1,12,8014,,False,2023-03-05,,-31886.0
7201202977389006123,theallergicgirl,1676660736,2211,1,7,14500,figpartner,True,2023-03-05,,6486.0
7197936793591745834,theallergicgirl,1675900264,3006,2,19,16400,,False,2023-03-05,,1900.0
7192002039642115371,theallergicgirl,1674518474,120200,315,138,929000,figpartner,True,2023-03-05,,912600.0
7187850248071515438,theallergicgirl,1673551809,1563,8,16,17800,,False,2023-03-05,,-911200.0
7187526886493392170,theallergicgirl,1673476527,15000,5,40,136500,figpartner,True,2023-03-05,,118700.0
7185640339921734955,theallergicgirl,1673037274,961,6,17,19900,,False,2023-03-05,,-116600.0
7185555225942576427,theallergicgirl,1673017465,264300,85,214,1300000,,False,2023-03-05,,1280100.0
7182274791116655915,theallergicgirl,1672253675,4696,7,22,38200,figpartner,True,2023-03-05,,-1261800.0
7181873622645001514,theallergicgirl,1672160272,2534,16,67,23800,,False,2023-03-05,,-14400.0
7181555911230508334,theallergicgirl,1672086296,1959,1,27,20200,,False,2023-03-05,,-3600.0
7180030696931773742,theallergicgirl,1671731187,3633,5,25,30700,,False,2023-03-05,,10500.0
7179315139068497198,theallergicgirl,1671564573,2786,10,27,26100,,False,2023-03-05,,-4600.0
7174815733703019818,theallergicgirl,1670516976,589600,853,1789,4700000,figpartner,True,2023-03-05,,4673900.0
7172640750012910894,theallergicgirl,1670010574,3087,7,28,33800,,False,2023-03-05,,-4666200.0
7170817199261748523,theallergicgirl,1669585995,24900,10,70,172900,,False,2023-03-05,,139100.0
7167155755999874350,theallergicgirl,1668733498,4496,5,31,52800,,False,2023-03-05,,-120100.0
7164767062991113518,theallergicgirl,1668177354,2996,3,47,32500,,False,2023-03-05,,-20300.0
7161499660769611050,theallergicgirl,1667416590,23000,30,111,247400,figpartner,True,2023-03-05,,214900.0
7161217951922703658,theallergicgirl,1667350991,2269,2,23,32100,,False,2023-03-05,,-215300.0
7160020859988577582,theallergicgirl,1667072274,961,4,7,32400,ad;goodrxeffect,False,2023-03-05,,300.0
7158956129895058731,theallergicgirl,1666824372,48200,50,183,560900,figpartner,True,2023-03-05,,528500.0
7158871804189297966,theallergicgirl,1666804758,273,1,1,18700,ad;tealpumpkinproject;tealpumpkinatcvs;healthierhappenstogether,False,2023-03-05,,-542200.0
7157747298200489259,theallergicgirl,1666542921,6415,2,20,62600,figpartner,True,2023-03-05,,43900.0
7156977097347534123,theallergicgirl,1666363614,3409,12,39,40900,,False,2023-03-05,,-21700.0
7156691039699537198,theallergicgirl,1666296992,505,1,3,16900,tealpumpkinatcvs;healthierhappenstogether;ad,False,2023-03-05,,-24000.0
7156331654611586350,theallergicgirl,1666213320,759,4,7,16700,,False,2023-03-05,,-200.0
7155181186040548651,theallergicgirl,1665945455,2108,4,16,24800,,False,2023-03-05,,8100.0
7203046035969625386,tylerandhistummy,1677089857,127,7,5,2439,glutenfree;glutenfreebread;stomachproblems,True,2023-03-05,,-22361.0
7200883783048957230,tylerandhistummy,1676586414,455,2,12,5523,,True,2023-03-05,,3084.0
