video_id,user_unique_id,video_create_time,video_digg_count,video_share_count,video_comment_count,video_play_count,hashtags,used_proper_hastags,data_date
7197520031855496490,figapp,1675803231,56,0,2,1234,dietaryrestrictions;foodallergies,True,2023-02-09
7197518628407840043,figapp,1675802903,61,1,1,1120,,True,2023-02-09
7197516969770487086,figapp,1675802521,55,0,2,553,,True,2023-02-09
7195653323482058026,figapp,1675368605,141,0,2,1477,figapp;nyu,True,2023-02-09
7194948095640227114,figapp,1675204406,38,0,1,615,,True,2023-02-09
7194622986505325870,figapp,1675128709,29,0,6,606,,True,2023-02-09
7193464911857585450,figapp,1674859081,57,0,3,1047,,True,2023-02-09
7193106753893092654,figapp,1674775687,99,0,1,1279,,True,2023-02-09
7192669238551678250,figapp,1674673828,52,0,0,836,,True,2023-02-09
7192317938211310890,figapp,1674592035,57,0,2,981,foodallergies;dietaryrestrictions;lowfodmap;glutenfree;dairyfree;vegan,True,2023-02-09
7192312238693240107,figapp,1674590705,196,0,4,2008,nyu;foodallergies,True,2023-02-09
7191887958151089450,figapp,1674491931,149,1,4,2041,,True,2023-02-09
7190912724715719982,figapp,1674264849,292,1,6,4689,,True,2023-02-09
7190542618164563242,figapp,1674178675,285,0,1,4040,,True,2023-02-09
7189665654826388779,figapp,1673974508,155,0,6,2068,capcut,True,2023-02-09
7189661151314054443,figapp,1673973464,567,0,9,8285,,True,2023-02-09
7188166594328104238,figapp,1673625465,107,0,4,1964,,True,2023-02-09
7187859223403875626,figapp,1673553899,119,0,5,2252,,True,2023-02-09
7187120203107601710,figapp,1673381842,878,1,6,9600,,True,2023-02-09
7186694140493597998,figapp,1673282655,36,1,2,918,stitch,True,2023-02-09
7183458430386982186,figapp,1672529262,24,0,2,1154,,True,2023-02-09
7182989871311686958,figapp,1672420171,614,1,7,7336,,True,2023-02-09
7181844485263936810,figapp,1672153505,334,0,3,4187,,True,2023-02-09
7180035253866663211,figapp,1671732243,101,0,3,2641,dietaryrestrictions;foodallergies;figapp,True,2023-02-09
7179724450877934894,figapp,1671659876,428,1,3,5638,,True,2023-02-09
7178925436951334186,figapp,1671473845,111,1,14,2948,,True,2023-02-09
7177797539457010986,figapp,1671211236,179,4,3,4496,,True,2023-02-09
7177397369737071914,figapp,1671118060,730,3,13,15900,,True,2023-02-09
7176646815931206958,figapp,1670943311,23300,23,88,341000,,True,2023-02-09
7174071559559171371,figapp,1670343730,565,1,5,9397,,True,2023-02-09
7197936793591745834,theallergicgirl,1675900264,1038,0,6,5558,,False,2023-02-09
7192002039642115371,theallergicgirl,1674518474,119500,313,134,920100,figpartner,True,2023-02-09
7187850248071515438,theallergicgirl,1673551809,1486,7,15,16100,,False,2023-02-09
7187526886493392170,theallergicgirl,1673476527,15000,5,40,135400,figpartner,True,2023-02-09
7185640339921734955,theallergicgirl,1673037274,937,6,17,18700,,False,2023-02-09
7185555225942576427,theallergicgirl,1673017465,263500,84,214,1300000,,False,2023-02-09
7182274791116655915,theallergicgirl,1672253675,4663,7,22,37100,figpartner,True,2023-02-09
7181873622645001514,theallergicgirl,1672160272,2473,14,66,22800,,False,2023-02-09
7181555911230508334,theallergicgirl,1672086296,1919,1,25,19400,,False,2023-02-09
7180030696931773742,theallergicgirl,1671731187,3598,5,25,30000,,False,2023-02-09
7179315139068497198,theallergicgirl,1671564573,2735,10,27,25000,,False,2023-02-09
7174815733703019818,theallergicgirl,1670516976,588600,839,1767,4700000,figpartner,True,2023-02-09
7172640750012910894,theallergicgirl,1670010574,3052,7,28,33100,,False,2023-02-09
7170817199261748523,theallergicgirl,1669585995,24900,10,68,172200,,False,2023-02-09
7167155755999874350,theallergicgirl,1668733498,4454,4,29,51100,,False,2023-02-09
7164767062991113518,theallergicgirl,1668177354,2982,3,47,32000,,False,2023-02-09
7161499660769611050,theallergicgirl,1667416590,23000,30,111,246700,figpartner,True,2023-02-09
7161217951922703658,theallergicgirl,1667350991,2231,2,19,31200,,False,2023-02-09
7160020859988577582,theallergicgirl,1667072274,950,3,7,32100,ad;goodrxeffect,False,2023-02-09
7158956129895058731,theallergicgirl,1666824372,48200,49,184,560200,figpartner,True,2023-02-09
7158871804189297966,theallergicgirl,1666804758,270,1,1,18400,ad;tealpumpkinproject;tealpumpkinatcvs;healthierhappenstogether,False,2023-02-09
7157747298200489259,theallergicgirl,1666542921,6402,2,20,62200,figpartner,True,2023-02-09
