video_id,user_unique_id,video_create_time,video_digg_count,video_share_count,video_comment_count,video_play_count,hashtags,used_proper_hastags,data_date
7209149696072289579,tytheproductguy,2023-03-11 05:02:58,365,80,10,8000,ai;aitools;artificialintelligence;sidehustleideas;durablepartner,False,2023-03-20
7207465158858313003,tytheproductguy,2023-03-06 16:06:18,815,156,1,12400,ai;aitools;artificialintelligence;TechTokTips,False,2023-03-20
7205983976115146027,tytheproductguy,2023-03-02 16:18:19,71,16,0,2107,ai;aitools;artificialintelligence;TechTokTips,False,2023-03-20
7205617637227842858,tytheproductguy,2023-03-01 16:36:44,3034,600,10,76300,ai;aitools;artificialintelligence;TechTokTips,False,2023-03-20
7205264361785707822,tytheproductguy,2023-02-28 17:45:50,128,12,1,2739,ai;artificialintelligence;techtok;aitools,False,2023-03-20
7203828682908011822,tytheproductguy,2023-02-24 20:54:38,1669,159,6,21900,ai;artificialintelligence;techtok;aitools,False,2023-03-20
7203370595675835694,tytheproductguy,2023-02-23 15:17:02,56,3,1,1984,ai;artificialintelligence;techtok;aitools,False,2023-03-20
7203010610580229419,tytheproductguy,2023-02-22 16:00:07,38200,6155,157,707700,aitools;ai;artificialintelligence;techtok,False,2023-03-20
7202819217794534699,tytheproductguy,2023-02-22 03:37:23,44,2,0,2017,aitools;ai;artificialintelligence;techtok,False,2023-03-20
7201158427794541867,tytheproductguy,2023-02-17 16:12:40,7270,2059,32,222400,artificialintelligence;aitools;ai;techtok,False,2023-03-20
7200831863479536942,tytheproductguy,2023-02-16 19:05:29,470,118,6,10200,artificialintelligence;aitools;ai;techtok,False,2023-03-20
7200654261166918958,tytheproductguy,2023-02-16 07:36:18,169,17,1,3863,aitools;artificialintelligence;ai;logodesign,False,2023-03-20
7199819871453056299,tytheproductguy,2023-02-14 01:38:25,32,1,0,1560,aitools;artificialintelligence;valentines,False,2023-03-20
7199801547889560878,tytheproductguy,2023-02-14 00:27:24,5855,1758,49,143700,aitools;artificialintelligence;smallbiz;durablepartner;durableai,False,2023-03-20
7198575604206193963,tytheproductguy,2023-02-10 17:10:21,284,67,7,7243,aitools;ai;artificialintelligence;chatgpt;openai;producthunt,False,2023-03-20
7198202542247939374,tytheproductguy,2023-02-09 17:02:35,224,23,5,3659,growthmentor;growthmentorpartner;marketingtips;growthmarketing;marketingadvice,False,2023-03-20
7197813612423957803,tytheproductguy,2023-02-08 15:53:09,192,40,1,5082,aitools;wallartdecor;artificialintelligence;chatgpt;tytheproductguy,False,2023-03-20
7197442049334103342,tytheproductguy,2023-02-07 15:51:15,726,186,20,11400,aitools;atomichabits;navalravikant;konjerxyz;marketingtools,False,2023-03-20
7195956804201794862,tytheproductguy,2023-02-03 15:47:45,4170,504,63,63000,aitools;brancherai;gpt3;marketingtools;sidehustles,False,2023-03-20
7195587217463528747,tytheproductguy,2023-02-02 15:53:36,13200,2095,62,184100,aitools;brancherai;gpt3;marketingtools,False,2023-03-20
7195213366439251243,tytheproductguy,2023-02-01 15:42:49,122,27,3,2868,marketingtips;businessideas;aitools;validatorai,False,2023-03-20
7105056783282048302,tytheproductguy,2022-06-03 16:49:05,49,2,3,1631,startups;growthmarketing;newproductalert;producthunt,False,2023-03-20
