video_id,user_unique_id,video_create_time,video_digg_count,video_share_count,video_comment_count,video_play_count,hashtags,used_proper_hastags,data_date
7195653323482058026,figapp,1675368605,121,0,1,1230,figapp;nyu,True,2023-02-04
7194948095640227114,figapp,1675204406,26,0,1,464,,True,2023-02-04
7194622986505325870,figapp,1675128709,28,0,6,536,,True,2023-02-04
7193464911857585450,figapp,1674859081,55,0,3,994,,True,2023-02-04
7193106753893092654,figapp,1674775687,96,0,1,1180,,True,2023-02-04
7192669238551678250,figapp,1674673828,49,0,0,795,,True,2023-02-04
7192317938211310890,figapp,1674592035,56,0,2,926,foodallergies;dietaryrestrictions;lowfodmap;glutenfree;dairyfree;vegan,True,2023-02-04
7192312238693240107,figapp,1674590705,183,0,4,1816,nyu;foodallergies,True,2023-02-04
7191887958151089450,figapp,1674491931,147,1,4,1971,,True,2023-02-04
7190912724715719982,figapp,1674264849,284,1,6,4561,,True,2023-02-04
7190542618164563242,figapp,1674178675,284,0,1,3970,,True,2023-02-04
7189665654826388779,figapp,1673974508,154,0,6,2045,capcut,True,2023-02-04
7189661151314054443,figapp,1673973464,561,0,9,8223,,True,2023-02-04
7188166594328104238,figapp,1673625465,107,0,4,1944,,True,2023-02-04
7187859223403875626,figapp,1673553899,119,0,5,2238,,True,2023-02-04
7187120203107601710,figapp,1673381842,878,1,6,9563,,True,2023-02-04
7186694140493597998,figapp,1673282655,34,1,2,900,stitch,True,2023-02-04
7183458430386982186,figapp,1672529262,24,0,2,1145,,True,2023-02-04
7182989871311686958,figapp,1672420171,611,1,7,7316,,True,2023-02-04
7181844485263936810,figapp,1672153505,334,0,3,4176,,True,2023-02-04
7180035253866663211,figapp,1671732243,101,0,3,2627,dietaryrestrictions;foodallergies;figapp,True,2023-02-04
7179724450877934894,figapp,1671659876,428,1,3,5621,,True,2023-02-04
7178925436951334186,figapp,1671473845,111,1,14,2936,,True,2023-02-04
7177797539457010986,figapp,1671211236,179,4,5,4481,,True,2023-02-04
7177397369737071914,figapp,1671118060,729,3,13,15800,,True,2023-02-04
7176646815931206958,figapp,1670943311,23000,22,84,336700,,True,2023-02-04
7174071559559171371,figapp,1670343730,565,1,5,9392,,True,2023-02-04
7172628812629364011,figapp,1670007794,381,1,5,7880,,True,2023-02-04
7171889197207293226,figapp,1669835602,384,1,6,4081,,True,2023-02-04
7169594571012263210,figapp,1669301341,151,3,5,3114,,True,2023-02-04
7192002039642115371,theallergicgirl,1674518474,118400,308,134,902300,figpartner,True,2023-02-04
7187850248071515438,theallergicgirl,1673551809,1450,7,14,15700,,False,2023-02-04
7187526886493392170,theallergicgirl,1673476527,14900,5,40,135100,figpartner,True,2023-02-04
7185640339921734955,theallergicgirl,1673037274,923,6,15,18500,,False,2023-02-04
7185555225942576427,theallergicgirl,1673017465,263400,84,214,1300000,,False,2023-02-04
7182274791116655915,theallergicgirl,1672253675,4654,6,22,36900,figpartner,True,2023-02-04
7181873622645001514,theallergicgirl,1672160272,2461,14,65,22700,,False,2023-02-04
7181555911230508334,theallergicgirl,1672086296,1908,1,25,19300,,False,2023-02-04
7180030696931773742,theallergicgirl,1671731187,3591,5,25,29800,,False,2023-02-04
7179315139068497198,theallergicgirl,1671564573,2729,10,27,24800,,False,2023-02-04
7174815733703019818,theallergicgirl,1670516976,588300,835,1756,4700000,figpartner,True,2023-02-04
7172640750012910894,theallergicgirl,1670010574,3050,7,28,33000,,False,2023-02-04
7170817199261748523,theallergicgirl,1669585995,24900,10,69,172100,,False,2023-02-04
7167155755999874350,theallergicgirl,1668733498,4443,4,29,50500,,False,2023-02-04
7164767062991113518,theallergicgirl,1668177354,2979,3,47,31900,,False,2023-02-04
7161499660769611050,theallergicgirl,1667416590,23000,30,111,246500,figpartner,True,2023-02-04
7161217951922703658,theallergicgirl,1667350991,2225,2,19,31100,,False,2023-02-04
7160020859988577582,theallergicgirl,1667072274,950,3,7,32000,ad;goodrxeffect,False,2023-02-04
7158956129895058731,theallergicgirl,1666824372,48200,49,184,560100,figpartner,True,2023-02-04
7158871804189297966,theallergicgirl,1666804758,270,1,1,18400,ad;tealpumpkinproject;tealpumpkinatcvs;healthierhappenstogether,False,2023-02-04
7157747298200489259,theallergicgirl,1666542921,6402,2,20,62200,figpartner,True,2023-02-04
7156977097347534123,theallergicgirl,1666363614,3400,12,39,40500,,False,2023-02-04
7156691039699537198,theallergicgirl,1666296992,499,1,3,16700,tealpumpkinatcvs;healthierhappenstogether;ad,False,2023-02-04
7156331654611586350,theallergicgirl,1666213320,753,4,7,16400,,False,2023-02-04
7155181186040548651,theallergicgirl,1665945455,2102,4,15,24600,,False,2023-02-04
7154478025122368810,theallergicgirl,1665781736,2998,4,25,25000,figpartner,True,2023-02-04
7154475832977739050,theallergicgirl,1665781223,1079,6,9,16600,,False,2023-02-04
7154125551316258091,theallergicgirl,1665699663,800,0,9,14500,,False,2023-02-04
7152966663615597870,theallergicgirl,1665429845,1495,0,9,19100,,False,2023-02-04
7152961891520777518,theallergicgirl,1665428732,360,3,3,11000,,False,2023-02-04
7195703341349932331,tylerandhistummy,1675380250,343,0,3,4948,,True,2023-02-04
7195639489681706283,tylerandhistummy,1675365382,215,0,2,2670,cornallergy;foodallergies;foodintolerance,True,2023-02-04
7195267850376842539,tylerandhistummy,1675278853,393,0,5,3373,ibs;lowfodmap;lowfodmapdiet;irritablebowelsyndromecheck,True,2023-02-04
7194879183745469739,tylerandhistummy,1675188363,10500,9,49,122700,cornallergy;foodallergies;energydrinks;groceryhaul,True,2023-02-04
7193422484635520302,tylerandhistummy,1674849201,180,1,10,2112,,True,2023-02-04
7193110641136110890,tylerandhistummy,1674776592,227,1,8,2866,cornallergy;citricacid;foodallergies;glutenfree,True,2023-02-04
7192653987508784430,tylerandhistummy,1674670283,318,0,2,3742,,True,2023-02-04
7192384787741478190,tylerandhistummy,1674607593,150,0,2,1883,foodallergies;artificialcoloring;dairyfree;glutenfree,True,2023-02-04
7191929565176974638,tylerandhistummy,1674501611,283,3,20,3399,foodallergies;artificialcoloring;artificialflavoring;seafoodallergy,True,2023-02-04
7190898961975119150,tylerandhistummy,1674261645,133,0,5,2313,,True,2023-02-04
7190512534305262890,tylerandhistummy,1674171670,275,4,13,5729,foodsensitivity;foodintolerance;traderjoeshaul,True,2023-02-04
7190068257817382190,tylerandhistummy,1674068234,392,0,13,5348,sza;foodallergies;vegan;ingredientlabels,True,2023-02-04
7189689635033910570,tylerandhistummy,1673980096,154,0,3,1705,foodallergies;figapp;severeallergy;eggfree,True,2023-02-04
7188210875864517934,tylerandhistummy,1673635783,60,0,6,812,,True,2023-02-04
7187557101076483371,tylerandhistummy,1673483555,105,0,4,1255,foodallergies;tomatoallergy;nutallergy,True,2023-02-04
7187498318430424366,tylerandhistummy,1673469879,45,0,2,698,ingredientlabels;foodallergies;figapp;lowfodmapdiet,True,2023-02-04
7187467101123202346,tylerandhistummy,1673462622,349,2,8,5486,foodallergies;ingredientlabels,True,2023-02-04
7187166363369131307,tylerandhistummy,1673392578,60,0,12,1089,lowfodmap;lowfodmapdiet;lowfodmapfood;ibs,True,2023-02-04
7187111319235988782,tylerandhistummy,1673379777,132,1,18,1717,foodallergies;dietaryrestrictions;stomachissues;foodsensitivity,True,2023-02-04
7187094557887106347,tylerandhistummy,1673375882,13900,16,68,123200,foodallergies;ingredientlabels;sza,True,2023-02-04
7186799098677300522,tylerandhistummy,1673307074,162,1,11,2241,highfructosecornsyrup;cornsyrup,True,2023-02-04
7186752051534122282,tylerandhistummy,1673296122,467,4,24,7397,fructoseintolerant;fructosefree;dairyfree;peanutallergy;dietaryrestrictions,True,2023-02-04
7185669227699834155,tylerandhistummy,1673043999,106,0,11,1969,ingredientsmatter;ingredientlabels;veganshopping;foodallergies,True,2023-02-04
7180838498423885099,tylerandhistummy,1671919260,97,4,6,2155,stitch;ibs;lowfodmap;lowfodmapdiet;ibsfriendly,True,2023-02-04
7179761359297449259,tylerandhistummy,1671668469,379,9,18,6018,sesameallergy;fasteract;fare;greenscreen,True,2023-02-04
7177844517092117806,tylerandhistummy,1671222168,121,5,7,3293,foodallergies;vegantiktok;lowfodmap;histamineintolerance,True,2023-02-04
7177550662690000170,tylerandhistummy,1671153753,1607,7,47,42900,bigcorn;cornallergy;cornfree,True,2023-02-04
7174879181128437034,thefigapp,1670531748,3,0,0,89,foodallergy;dietaryrestrictions;nutrition,True,2023-02-04
7173799866521357611,thefigapp,1670280449,1,0,1,74,soyfree;seedoils;dietaryrestrictions,True,2023-02-04
7173396960794185003,thefigapp,1670186642,3,0,0,153,,True,2023-02-04
7173060448303025450,thefigapp,1670108295,9,0,0,161,,True,2023-02-04
7172630850217970987,thefigapp,1670008269,2,0,0,156,,True,2023-02-04
7172252794399903019,thefigapp,1669920261,5,0,0,278,,True,2023-02-04
7171884852562644267,thefigapp,1669834590,3,0,0,103,,True,2023-02-04
7171534129325034798,thefigapp,1669752928,3,0,1,226,,True,2023-02-04
7171209596650917166,thefigapp,1669677357,8,0,0,346,,True,2023-02-04
7170040973014175022,thefigapp,1669405264,8,0,0,245,,True,2023-02-04
7169344096564153646,thefigapp,1669243007,17,0,0,545,,True,2023-02-04
7168953265218997546,thefigapp,1669152011,4,0,0,228,,True,2023-02-04
7168603275007102251,thefigapp,1669070519,7,0,0,211,,True,2023-02-04
7168249437003861294,thefigapp,1668988139,14,0,0,235,,True,2023-02-04
7167836279814507822,thefigapp,1668891941,4,0,1,912,,True,2023-02-04
7167453603030928686,thefigapp,1668802848,7,0,0,816,,True,2023-02-04
7195738489218960686,glutenfreefig,1675388430,45,2,0,1288,glutenfree;glutenfreefig;celiac;glutenfreetiktok,True,2023-02-04
7194994814729866542,glutenfreefig,1675215283,19,0,0,373,glutenfreefig;glutenfree;figapp;glutenfreetiktok;glutendairyfree,True,2023-02-04
7194184033377635630,glutenfreefig,1675026515,19,0,0,315,glutenfree;glutenfreefig;fig;glutenfreetravel;glutenfreetiktok,True,2023-02-04
7193144859417480490,glutenfreefig,1674784557,40,0,1,320,glutenfree;glutenfreefig;oats;glutenfreeoats;fyp;glutenfreetiktok,True,2023-02-04
7192287338511256875,glutenfreefig,1674584915,18,0,0,310,glutenfree;glutenfreefig;glutenfreerecipes;glutenfreetiktok;glutendairyfree,True,2023-02-04
7191485712485698858,glutenfreefig,1674398277,38,0,0,308,glutenfree;glutenfreefig,True,2023-02-04
7190058060457577771,glutenfreefig,1674065862,29,1,0,352,glutenfreefig;glutenfree;celiac,True,2023-02-04
7188880377522441515,glutenfreefig,1673791675,10,0,0,101,fig;glutenfree;glutenfreefig,True,2023-02-04
7187845246875733294,glutenfreefig,1673550645,41,0,1,388,fig;glutenfreefig;glutenfree;groceryshopping,True,2023-02-04
7186685533773417770,glutenfreefig,1673280645,11,0,0,348,fig;glutenfreefig;celiac,True,2023-02-04
7185922364595653931,glutenfreefig,1673102961,25,1,4,1015,fig;glutenfree;glutenfreefig;celiac;groceryshopping;greenscreen;greenscreenvideo,True,2023-02-04
7196023821223300398,maliaglutenfree,1675454870,13,0,0,315,glutenfree;morningroutine;sandiegosunrise;sandiego;lajolla;morningroutineaesthetic;morningcoffee;morningvibes;lajollasandiego;sandiegolife;sandiegocalifornia,False,2023-02-04
7195672380029717806,maliaglutenfree,1675373041,54,0,0,525,glutenfree;bcaas;bcaasuplement;bcaapowder;thorneresearch;celiac;celiacdisease;glutenfreesupplements;glutenfreesupplement;bcaasquad,False,2023-02-04
7194843990947089706,maliaglutenfree,1675180168,67,1,0,463,glutenfree;vegan;proteinshake;proteinsmoothie;proteinsmoothierecipe;protein;gains;gainshake;vegansmoothie;glutenfreesmoothie;smoothiebowl;wellnessjourney;nutpodspartner;nutpods;glutenfreesmoothiebowl;vegansmoothiebowl;wellness,False,2023-02-04
7194240205438700843,maliaglutenfree,1675039588,22,0,0,1048,mocktails;mocktail;glutenfree;sobercurious;dryjanuary2023;dryjanuary;sober;freespirits;sobercuriouslifestyle,False,2023-02-04
7192754417756622122,maliaglutenfree,1674693651,148,0,51,1242,glutenfree;glutenfreetiktok;celiac;celiacdisease;celiacdiagnosis;glutenintolerance,False,2023-02-04
7189813357632064814,maliaglutenfree,1674008881,69,0,10,1001,transformation;celiacdisease;celiac;wellness;wellnessjourney;gymjourney;healthjourney;skinnytostrong,False,2023-02-04
